manufacturer,company_location,year_reviewed,bean_origin,bar_name,cocoa_percent,num_ingredients,review,rating,rating_category,B,S,S*,C,V,L,Sa,Cluster
5150,U.S.A.,2019,Tanzania,"Kokoa Kamili, batch 1",76.0,3.0,"rich cocoa, fatty, bready",3.25,Recommended,1,1,1,1,0,0,0,2
5150,U.S.A.,2019,Dominican Republic,"Zorzal, batch 1",76.0,3.0,"cocoa, vegetal, savory",3.5,Highly Recommended,1,1,1,1,0,0,0,2
5150,U.S.A.,2019,Madagascar,"Bejofo Estate, batch 1",76.0,3.0,"cocoa, blackberry, full body",3.75,Highly Recommended,1,1,1,1,0,0,0,2
5150,U.S.A.,2021,Fiji,"Matasawalevu, batch 1",68.0,3.0,"chewy, off, rubbery",3.0,Recommended,1,1,1,1,0,0,0,2
5150,U.S.A.,2021,Venezuela,"Sur del Lago, batch 1",72.0,3.0,"fatty, earthy, moss, nutty,chalky",3.0,Recommended,1,1,1,1,0,0,0,2
5150,U.S.A.,2021,Uganda,"Semuliki Forest, batch 1",80.0,3.0,"mildly bitter, basic cocoa, fatty",3.25,Recommended,1,1,1,1,0,0,0,2
5150,U.S.A.,2021,India,"Anamalai, batch 1",68.0,3.0,"milk brownie, macadamia,chewy",3.5,Highly Recommended,1,1,1,1,0,0,0,2
A. Morin,France,2012,Bolivia,Bolivia,70.0,4.0,"vegetal, nutty",3.5,Highly Recommended,1,1,1,1,0,1,0,1
A. Morin,France,2012,Peru,Peru,63.0,4.0,"fruity, melon, roasty",3.75,Highly Recommended,1,1,1,1,0,1,0,1
A. Morin,France,2013,Panama,Panama,70.0,4.0,"brief fruit note, earthy, nutty",2.75,Disappointing,1,1,1,1,0,1,0,1
A. Morin,France,2013,Colombia,Colombie,70.0,4.0,"burnt rubber,alkalyzed notes",2.75,Disappointing,1,1,1,1,0,1,0,1
A. Morin,France,2013,Madagascar,"Madagascar, Criollo",70.0,4.0,"sticky, red fruit, sour",3.0,Recommended,1,1,1,1,0,1,0,1
A. Morin,France,2013,Burma,Birmanie,70.0,4.0,"sticky, smokey, grass",3.0,Recommended,1,1,1,1,0,1,0,1
A. Morin,France,2013,Brazil,Brazil,70.0,4.0,mild tobacco,3.25,Recommended,1,1,1,1,0,1,0,1
A. Morin,France,2013,Papua New Guinea,Papua New Guinea,70.0,4.0,"mild fruit, strong smoke",3.25,Recommended,1,1,1,1,0,1,0,1
A. Morin,France,2013,Peru,Piura,70.0,4.0,"green, nutty, cocoa",3.25,Recommended,1,1,1,1,0,1,0,1
A. Morin,France,2013,Peru,Chanchamayo Province,70.0,4.0,"cocoa,sour,intense tangerine",3.5,Highly Recommended,1,1,1,1,0,1,0,1
A. Morin,France,2013,Ecuador,Equateur,70.0,4.0,"sandy, nutty, cocoa, fig",3.75,Highly Recommended,1,1,1,1,0,1,0,1
A. Morin,France,2013,Venezuela,Chuao,70.0,4.0,"oily, nut, caramel, raspberry",4.0,Outstanding,1,1,1,1,0,1,0,1
A. Morin,France,2013,Peru,Chanchamayo Province,63.0,3.0,"sweet, cocoa, tangerine",4.0,Outstanding,1,1,1,1,0,0,0,2
A. Morin,France,2014,Venezuela,"Carenero, Criollo",70.0,4.0,"harsh, leather, earthy",2.75,Disappointing,1,1,1,1,0,1,0,1
